,Date,Rented_Bike_Count,Hour,Temperature,Humidity,Wind_speed,Visibility,Dew_point_temperature,Solar_Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning_Day,Hotness
0,01/12/2017,254,0,-5.2,37.0,2.2,2000.0,-17.6,"0,0",0.0,0.0,Winter,No Holiday,Yes,-5.2
1,01/12/2017,204,1,-5.5,38.0,0.8,2000.0,-17.6,"0,0",0.0,0.0,Winter,No Holiday,Yes,-5.5
2,01/12/2017,173,2,-6.0,39.0,1.0,2000.0,-17.7,"0,0",0.0,0.0,Winter,No Holiday,Yes,-6.0
3,01/12/2017,107,3,-6.2,40.0,0.9,2000.0,-17.6,"0,0",0.0,0.0,Winter,No Holiday,Yes,-6.2
4,01/12/2017,78,4,-6.0,36.0,2.3,,-18.6,"0,0",0.0,0.0,Winter,No Holiday,Yes,-6.0
5,01/12/2017,100,5,-6.4,37.0,1.5,2000.0,-18.7,"0,0",0.0,0.0,Winter,No Holiday,Yes,-6.4
6,01/12/2017,181,6,-6.6,35.0,1.3,2000.0,-19.5,"0,0",0.0,0.0,Winter,No Holiday,Yes,-6.6
7,01/12/2017,460,7,-7.4,38.0,0.9,2000.0,-19.3,"0,0",0.0,0.0,Winter,No Holiday,Yes,-7.4
8,01/12/2017,930,8,-7.6,,1.1,2000.0,-19.8,"0,01",0.0,0.0,Winter,No Holiday,Yes,-7.6
9,01/12/2017,490,9,-6.5,,0.5,1928.0,-22.4,"0,23",0.0,0.0,Winter,No Holiday,Yes,-6.5
10,01/12/2017,339,10,-3.5,24.0,1.2,1996.0,-21.2,"0,65",0.0,0.0,Winter,No Holiday,Yes,-3.5
11,01/12/2017,360,11,-0.5,,1.3,1936.0,-20.2,"0,94",0.0,0.0,Winter,No Holiday,Yes,-0.5
12,01/12/2017,449,12,1.7,23.0,1.4,2000.0,-17.2,"1,11",0.0,0.0,Winter,No Holiday,Yes,1.7
13,01/12/2017,451,13,2.4,25.0,1.6,2000.0,-15.6,"1,16",0.0,0.0,Winter,No Holiday,Yes,2.4
14,01/12/2017,447,14,3.0,26.0,2.0,2000.0,-14.6,"1,01",0.0,0.0,Winter,No Holiday,Yes,3.0
15,01/12/2017,463,15,2.1,36.0,3.2,2000.0,-11.4,"0,54",0.0,0.0,Winter,No Holiday,Yes,2.1
16,01/12/2017,484,16,1.2,54.0,4.2,793.0,-7.0,"0,24",0.0,0.0,Winter,No Holiday,Yes,1.2
17,01/12/2017,555,17,0.8,58.0,,2000.0,-6.5,"0,08",0.0,0.0,Winter,No Holiday,Yes,0.8
18,01/12/2017,862,18,0.6,66.0,1.4,2000.0,-5.0,"0,0",0.0,0.0,Winter,No Holiday,Yes,0.6
19,01/12/2017,600,19,0.0,77.0,1.7,2000.0,-3.5,"0,0",0.0,0.0,Winter,No Holiday,Yes,0.0
20,01/12/2017,426,20,-0.3,,1.5,1913.0,-3.5,"0,0",0.0,0.0,Winter,No Holiday,Yes,-0.3
21,01/12/2017,405,21,-0.8,81.0,0.8,1687.0,-3.6,"0,0",0.0,0.0,Winter,No Holiday,Yes,-0.8
22,01/12/2017,398,22,-0.9,83.0,1.5,1380.0,-3.4,"0,0",0.0,0.0,Winter,No Holiday,Yes,-0.9
23,01/12/2017,323,23,-1.3,84.0,1.0,,-3.6,"0,0",0.0,0.0,Winter,No Holiday,Yes,-1.3
24,02/12/2017,328,0,-1.8,87.0,1.1,,-3.6,"0,0",0.0,0.0,Winter,No Holiday,Yes,-1.8
25,02/12/2017,308,1,-2.2,86.0,0.6,,-4.2,"0,0",0.0,0.0,Winter,No Holiday,Yes,-2.2
26,02/12/2017,262,2,-2.9,86.0,1.5,1256.0,-4.9,"0,0",0.0,0.0,Winter,No Holiday,Yes,-2.9
27,02/12/2017,167,3,-3.5,81.0,2.2,1221.0,-6.2,"0,0",0.0,0.0,Winter,No Holiday,Yes,-3.5
28,02/12/2017,89,4,-3.8,79.0,2.0,1167.0,-6.9,"0,0",0.0,0.0,Winter,No Holiday,Yes,-3.8
29,02/12/2017,79,5,-4.0,79.0,1.5,1202.0,-7.1,"0,0",0.0,0.0,Winter,No Holiday,Yes,-4.0
30,02/12/2017,70,6,-4.3,,2.1,1178.0,-6.9,"0,0",0.0,0.0,Winter,No Holiday,Yes,-4.3
31,02/12/2017,146,7,-4.4,81.0,2.5,1276.0,-7.1,"0,0",0.0,0.0,Winter,No Holiday,Yes,-4.4
32,02/12/2017,219,8,-4.2,79.0,2.1,1436.0,-7.3,"0,01",0.0,0.0,Winter,No Holiday,Yes,-4.2
33,02/12/2017,328,9,-2.9,68.0,1.6,1487.0,-7.9,"0,3",0.0,0.0,Winter,No Holiday,Yes,-2.9
34,02/12/2017,334,10,-0.4,57.0,1.6,1309.0,-7.8,"0,8",0.0,0.0,Winter,No Holiday,Yes,-0.4
35,02/12/2017,388,11,1.9,49.0,,1406.0,-7.7,"1,0",0.0,0.0,Winter,No Holiday,Yes,1.9
